Majority.protein.IDs	Intensity_100fmolR1	Intensity_100fmolR2	Intensity_100fmolR3	Intensity_10fmolR1	Intensity_10fmolR2	Intensity_10fmolR3	organism	Protein.names	Gene.names	Peptides	Razor...unique.peptides	Unique.peptides	id
P16083ups	29.1837	29.1233	29.148	21.8433	25.2768	25.1837	human	P16083ups		13	13	13	33
P41159ups	28.5472	28.4711	28.5009	24.2368	24.9019	24.8876	human	P41159ups		5	5	5	34
P51965ups	26.6498	26.598	26.5685	NA	22.0254	21.8421	human	P51965ups		4	4	4	35
P55957ups	28.2386	28.2459	28.1785	21.3389	24.4208	24.7197	human	P55957ups		7	7	7	36
P61626ups	28.0044	27.906	27.9711	NA	22.7554	21.2821	human	P61626ups		5	5	5	37
P61769ups	26.5566	26.5271	26.7112	NA	22.1439	22.5772	human	P61769ups		3	3	3	38
P62937ups	27.4315	27.3449	27.3129	NA	22.9498	23.6964	human	P62937ups		7	7	7	39
P62979ups	25.4113	25.44	25.2933	21.8203	21.8182	22.6104	human	P62979ups		6	1	1	40
P63165ups	28.2677	28.1759	28.2041	NA	24.0513	23.9142	human	P63165ups		10	10	10	41
P63279ups	26.8852	26.8995	26.8002	NA	22.8972	22.9259	human	P63279ups		7	7	7	42
P68871ups	28.394	28.3303	28.3301	NA	24.0487	24.2619	human	P68871ups		10	10	10	43
P99999ups	26.8555	26.7676	26.884	NA	23.0309	22.938	human	P99999ups		6	6	6	44
Q06830ups	28.5384	28.5685	28.4051	21.8562	24.8906	24.7906	human	Q06830ups		12	12	12	45
Q15843ups	26.1221	26.0287	25.8955	NA	21.179	NA	human	Q15843ups		2	2	2	46
"CON__P01966;>P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)"	25.2664	24.9184	25.1494	NA	21.242	19.4777	human	"CON__P01966;P69905ups"		3	3	3	96
A5Z2X5	24.1137	23.7848	23.8561	23.8662	23.724	24.0481	yeast	UPF0495 protein YPR010C-A	YPR010C-A	1	1	1	47
"A6ZKM4;P38182"	24.2087	23.9979	24.0272	NA	23.8332	23.7766	yeast	Autophagy-related protein 8	ATG8	2	2	2	48
"C7GQJ1;A6ZL22;B5VE42;P38248"	25.6778	25.6536	25.6075	24.9888	24.9834	24.969	yeast	Cell wall protein ECM33	ECM33	2	2	2	50
"A6ZLF4;P38314"	20.9725	NA	NA	22.5326	20.9943	20.6672	yeast	Protein SDS24	SDS24	2	2	2	51
"A6ZM02;B3LLJ2;B5VP69;C7GVZ9;P23248"	25.2696	25.333	25.2339	24.489	25.0098	24.8646	yeast	40S ribosomal protein S1-B	RPS1B	11	2	2	52
"A6ZMK5;P40217"	24.9558	24.9297	24.9799	24.8635	25.0658	24.8511	yeast	Eukaryotic translation initiation factor 3 subunit I	TIF34	2	2	2	53
"A6ZN26;P32497"	26.2473	26.179	26.2005	25.5585	26.4841	26.1351	yeast	Eukaryotic translation initiation factor 3 subunit C	NIP1	13	13	13	54
"A6ZNQ1;P20449"	21.4503	21.5911	21.6208	NA	23.0657	23.2214	yeast	ATP-dependent RNA helicase DBP5	DBP5	2	2	2	55
"A6ZP43;Q08601"	21.1793	21.5682	20.9718	NA	NA	21.0602	yeast	Metacaspase-1	MCA1	1	1	1	56
"A6ZP47;P06634"	24.0362	23.8635	23.8669	24.2198	23.9652	23.8136	yeast	ATP-dependent RNA helicase DED1	DED1	5	5	5	57
"A6ZPB3;P12962"	22.8397	22.7543	22.7229	NA	22.5753	22.8449	yeast	Cap-associated protein CAF20	CAF20	1	1	1	58
"A6ZPE5;Q12499"	25.4223	25.7018	25.6893	25.2065	25.5931	25.1045	yeast	Nucleolar protein 58	NOP58	6	6	6	59
"A6ZPJ1;P06103"	23.4473	24.3941	22.8652	23.8635	24.0111	23.9516	yeast	Eukaryotic translation initiation factor 3 subunit B	PRT1	5	5	5	60
"A6ZPQ6;P40364"	22.4363	22.3307	22.134	22.3797	22.555	22.4048	yeast	Mitochondrial peculiar membrane protein 1	MPM1	1	1	1	61
"A6ZPY2;P47089"	22.0379	22.1153	22.0121	22.3161	22.48	22.9055	yeast	Translation machinery-associated protein 22	TMA22	2	2	2	62
"A6ZQJ1;P10081"	29.5237	29.4533	29.4561	29.0936	29.2494	29.2516	yeast	ATP-dependent RNA helicase eIF4A	TIF1	19	19	19	63
"A6ZR21;B3LRI4;C7GRP9;C8Z773;P40043"	26.8887	26.8506	26.9992	26.223	26.3127	26.3283	yeast	Respiratory growth induced protein 1	RGI1	3	3	3	64
"A6ZR27;P40047"	23.0646	22.8156	22.6825	NA	NA	23.4886	yeast	Aldehyde dehydrogenase 5, mitochondrial	ALD5	3	3	3	65
"A6ZRK4;B3LP78;B5VQH0;C7GPC1;C8ZFZ7;Q01532"	24.7729	24.7851	24.756	24.6828	24.5825	24.7444	yeast	Cysteine proteinase 1, mitochondrial	LAP3	3	3	3	66
"A6ZRM0;B3LP64;B5VQJ1;C7GPD7;C8ZG13;P80210"	23.6968	23.7219	23.7621	23.5923	23.6337	23.5225	yeast	Adenylosuccinate synthetase	ADE12	3	3	3	67
"A6ZRR2;B3LP25;C7GTE8;C8ZG55;P53885"	NA	NA	NA	19.6993	19.5926	19.5815	yeast	Signal transduction protein MDG1	MDG1	1	1	1	68
"A6ZRW3;P07213"	24.4464	24.1833	23.7685	23.0923	23.8959	24.0687	yeast	Mitochondrial import receptor subunit TOM70	TOM70	6	6	6	69
"A6ZRW6;P30952"	28.304	28.274	28.3398	28.1024	28.137	28.2179	yeast	Malate synthase 1, glyoxysomal	MLS1	15	15	15	70
"A6ZRX0;P24783"	21.4824	21.6314	21.436	21.3724	21.0693	21.1087	yeast	ATP-dependent RNA helicase DBP2	DBP2	1	1	1	72
"A6ZRZ6;P39013"	22.5502	22.9259	22.8627	22.3994	22.1815	22.8724	yeast	Actin cytoskeleton-regulatory complex protein END3	END3	2	2	2	73
"A6ZT54;B3LSR0;C7GJZ2;C8Z9U3;E7KDM2;E7KPJ0;E7LVH4;E7Q4T7;P38845;E7NIP0"	23.639	23.7299	23.6632	23.0134	22.8375	22.8163	yeast	"Cruciform DNA-recognizing protein 1;CRP1 short N-terminal subpeptide;CRP1 short C-terminal subpeptide"	CRP1	2	2	2	74
"A6ZT71;B3LSS7;B5VK90;P38858"	25.0668	25.1475	25.1217	24.4255	24.4491	24.7784	yeast	6-phosphogluconolactonase 3	SOL3	6	6	6	75
"A6ZT99;P38879"	26.353	26.2324	26.3592	26.6925	26.1249	26.6078	yeast	Nascent polypeptide-associated complex subunit alpha	EGD2	5	5	5	76
"P32521;A6ZVS5"	23.3403	23.2819	23.4519	19.4119	22.0959	22.4716	yeast	Actin cytoskeleton-regulatory complex protein PAN1	PAN1	2	2	2	78
"A6ZWL1;Q02642"	25.9961	25.5599	26.0009	25.2817	25.655	25.7669	yeast	Nascent polypeptide-associated complex subunit beta-1	EGD1	4	4	4	79
"A6ZXG9;P39517"	21.6253	21.5147	21.682	NA	21.3596	NA	yeast	ATP-dependent RNA helicase DHH1	DHH1	2	2	2	80
"A6ZXM9;B3LGZ3;Q12154"	23.7492	23.8408	23.665	23.5652	23.3815	23.4941	yeast	ATPase GET3	GET3	2	2	2	81
"A6ZXP4;Q07478"	25.7705	25.801	26.0399	24.8314	25.7241	25.7164	yeast	ATP-dependent RNA helicase SUB2	SUB2	7	7	7	82
"A6ZYI0;B3LG61;P07170"	28.1391	28.1873	28.1887	27.6024	27.662	27.4649	yeast	Adenylate kinase 1	ADK1	11	11	11	84
"A6ZZ25;Q04067"	21.899	22.2286	23.9255	23.8201	23.6775	23.529	yeast	Eukaryotic translation initiation factor 3 subunit G	TIF35	2	2	2	85
"A6ZZH2;P36060"	22.3229	21.5633	21.709	NA	22.0387	21.5747	yeast	"NADH-cytochrome b5 reductase 2;NADH-cytochrome b5 reductase p34 form;NADH-cytochrome b5 reductase p32 form"	MCR1	2	2	2	86
"P36135;A7A003;B3LRC2;B5VMJ0"	25.3392	24.7527	25.2591	25.2993	25.2343	25.2348	yeast	Protein UTH1	UTH1	3	3	3	87
"A7A0V3;B3LT19;P46654;A6ZUM5;B3LI22;P32905"	28.95	28.7091	29.0163	28.6023	28.5808	28.6126	yeast	"40S ribosomal protein S0-B;40S ribosomal protein S0-A"	"RPS0B;RPS0A"	9	9	9	88
"A7A0X4;B3LT39;B5VN01;P25039"	22.8344	23.5818	23.7446	22.5779	22.8033	22.7329	yeast	Elongation factor G, mitochondrial	MEF1	1	1	1	89
"A7A1I2;B3RHI0;C7GVT8;C8ZDR4;E7NKW8;E7Q714;E7QIA1;Q05905;E7KFU6;E7LXU7;E7KS00"	23.7883	23.7445	23.5768	23.9284	23.5237	23.3586	yeast	Protein HRI1	HRI1	2	2	2	90
"A7A1W1;B3RHV0;B5VNY0;C7GSL4;P33442"	25.621	24.8719	24.732	24.6329	24.5913	24.6653	yeast	40S ribosomal protein S1-A	RPS1A	11	11	2	91
"A7A261;P43603"	NA	NA	NA	22.3948	22.2157	22.1249	yeast	LAS seventeen-binding protein 3	LSB3	1	1	1	92
"B3LGE9;C7GIN5;C8Z543;P08566;A6ZY89"	24.3485	24.279	24.1278	24.4807	24.4172	24.5711	yeast	"Pentafunctional AROM polypeptide;3-dehydroquinate synthase;3-phosphoshikimate 1-carboxyvinyltransferase;Shikimate kinase;3-dehydroquinate dehydratase;Shikimate dehydrogenase"	ARO1	7	7	7	93
"C7GP20;P35732"	22.0325	22.1954	22.2933	NA	21.9776	22.1342	yeast	RNA polymerase II degradation factor 1	DEF1	1	1	1	94
O13516	20.9604	20.8938	20.7762	NA	20.212	20.3457	yeast	40S ribosomal protein S9-A	RPS9A	13	13	1	102
"O13535;P0C2I2;P0C2I3;P0C2I5;P0C2I6;P0C2I7;P0C2I9;P0C2J1;P47098;P47100;Q03434;Q03612;Q03619;Q03855;Q04670;Q04711;Q07163;Q12088;Q12141;Q12269;Q12316;Q12414;Q07793;P0C2I4;O74302;P08405;P0C2I8;P0CX57;P0CX58;P0CX65;P0CX66;P0CX67;P0CX68;P0CX69;P0CX70;P0CX71;P0CX72;P0CX73;P0CX74;P0CX75;P0CX76;P47099;Q03856;Q04706;Q12085;Q12485;Q6Q5H1;P0C2J0;Q12193;Q92393;Q12273;Q99231;Q99337;P0CX59;P0CX60;Q12217;Q12470;Q92392;Q12441"	27.697	27.6201	27.6376	27.2488	26.9101	27.219	yeast	"Transposon Ty1-H Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-DR5 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-DR6 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-LR2 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-LR3 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-LR4 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-PR1 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-PR3 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-JR1 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-JR2 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-ML2 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-ER1 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-ER2 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-DR1 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-MR2 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-ML1 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon TyH3 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-LR1 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-GR1 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-GR2 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-GR3 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-PL Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-DR4 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-H Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-DR4 Gag polyprotein;Capsid protein;Gag-p4;Transposon TyH3 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-LR4 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-A Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-PR1 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-DR5 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-ER2 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-GR3 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-LR1 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-MR2 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-DR6 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-ER1 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-LR2 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-PL Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-JR1 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-LR3 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-ML2 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-JR2 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-DR1 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-ML1 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-GR1 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-GR2 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-PR3 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-PR2 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-BR Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-OR Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-OL Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-DR3 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-NL2 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-OR Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-PR2 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-BR Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-NL2 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-OL Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-DR3 Gag polyprotein;Capsid protein;Gag-p4"	"TY1B-H;TY1B-DR5;TY1B-DR6;TY1B-LR2;TY1B-LR3;TY1B-LR4;TY1B-PR1;TY1B-PR3;TY1B-JR1;TY1B-JR2;TY1B-ML2;TY1B-ER1;TY1B-ER2;TY1B-DR1;TY1B-MR2;TY1B-ML1;TY1B;TY1B-LR1;TY1B-GR1;TY1B-GR2;TY1B-GR3;TY1B-PL;TY1B-DR4;TY1A-H;TY1A-DR4;TY1A;TY1A-LR4;TY1A-A;TY1A-PR1;TY1A-DR5;TY1A-ER2;TY1A-GR3;TY1A-LR1;TY1A-MR2;TY1A-DR6;TY1A-ER1;TY1A-LR2;TY1A-PL;TY1A-JR1;TY1A-LR3;TY1A-ML2;TY1A-JR2;TY1A-DR1;TY1A-ML1;TY1A-GR1;TY1A-GR2;TY1A-PR3;TY1B-PR2;TY1B-BR;TY1B-OR;TY1B-OL;TY1B-DR3;TY1B-NL2;TY1A-OR;TY1A-PR2;TY1A-BR;TY1A-NL2;TY1A-OL;TY1A-DR3"	8	8	8	103
O13547	26.4783	26.456	26.4489	26.2112	26.2441	26.1629	yeast	Covalently-linked cell wall protein 14	CCW14	3	3	3	104
"P0CX14;P0CX15;P53819;P0CX20;P0CX21;P0CX22;P40434;P40889;P40105;O13559;Q03099;Q07888;Q99208;Q3E7X8;Q08995;Q3E7Y5;P38899;P43538;P38721"	26.0701	26.107	26.0256	25.8509	23.9192	25.8172	yeast	"Y element ATP-dependent helicase protein 1 copy 3;Y element ATP-dependent helicase protein 1 copy 7;Y element ATP-dependent helicase protein 1 copy 6;Y element ATP-dependent helicase protein 1 copy 1;Y element ATP-dependent helicase protein 1 copy 5;Y element ATP-dependent helicase protein 1 copy 8;Y element ATP-dependent helicase YIL177C;Y element ATP-dependent helicase YJL225C;Y element ATP-dependent helicase protein 1 copy 2;Y element ATP-dependent helicase protein 1 copy 4;Y element ATP-dependent helicase YML133C;Y element ATP-dependent helicase YLL067C;Y element ATP-dependent helicase YLL066C;Y element ATP-dependent helicase YEL077C;Y element ATP-dependent helicase YPR204W;Uncharacterized helicase-like protein YBL111C;Putative uncharacterized protein YHR218W;Y element ATP-dependent helicase YFL066C;Uncharacterized protein YHL050C"	"YRF1-3;YRF1-7;YRF1-6;YRF1-1;YRF1-5;YRF1-8;YIL177C;YRF1-2;YRF1-4;YEL077C;YPR204W;YBL111C;YHR218W;YFL066C;YHL050C"	2	2	2	105
"O14455;P05745"	27.5137	27.5953	27.2646	26.5028	26.8908	26.8722	yeast	"60S ribosomal protein L36-B;60S ribosomal protein L36-A"	"RPL36B;RPL36A"	6	6	6	106
O14467	23.2471	23.5254	23.4442	NA	22.7625	22.607	yeast	Multiprotein-bridging factor 1	MBF1	2	2	2	107
O43137	21.4893	23.246	NA	23.2605	23.2447	23.4342	yeast	Uncharacterized protein YBR085C-A	YBR085C-A	3	3	3	108
O74700	23.0241	22.9894	22.7891	NA	22.5221	22.784	yeast	Mitochondrial import inner membrane translocase subunit TIM9	TIM9	1	1	1	109
P00044	24.2741	24.0717	24.3121	23.1776	23.2203	24.2638	yeast	Cytochrome c iso-1	CYC1	5	5	4	110
P00045	22.2412	22.3049	22.2805	NA	21.4392	21.5014	yeast	Cytochrome c iso-2	CYC7	3	2	2	111
P00128	24.4773	24.5059	24.486	23.1436	24.1635	24.2468	yeast	Cytochrome b-c1 complex subunit 7	QCR7	3	3	3	112
P00175	25.9385	25.9583	26.0045	24.7621	25.8173	25.7768	yeast	Cytochrome b2, mitochondrial	CYB2	7	7	7	113
P00330	30.7181	30.665	30.6215	30.271	30.3579	30.4069	yeast	Alcohol dehydrogenase 1	ADH1	17	17	11	114
P00331	25.9734	25.7932	25.9104	25.273	25.541	25.4162	yeast	Alcohol dehydrogenase 2	ADH2	9	4	4	115
P00358	26.5252	27.6267	27.9088	27.0476	27.4802	27.4316	yeast	Glyceraldehyde-3-phosphate dehydrogenase 2	TDH2	26	7	6	116
P00359	30.96	31.0375	31.0956	30.521	30.6829	30.6716	yeast	Glyceraldehyde-3-phosphate dehydrogenase 3	TDH3	31	31	12	117
P00360	28.0014	28.007	27.9113	27.6094	27.8443	27.7997	yeast	Glyceraldehyde-3-phosphate dehydrogenase 1	TDH1	21	11	11	118
P00410	22.1618	22.3501	22.9255	21.9966	21.9697	22.4098	yeast	Cytochrome c oxidase subunit 2	COX2	1	1	1	119
"P00424;P00425"	21.7424	21.7762	21.3852	21.7724	22.0141	21.8522	yeast	"Cytochrome c oxidase polypeptide 5A, mitochondrial;Cytochrome c oxidase polypeptide 5B, mitochondrial"	"COX5A;COX5B"	1	1	1	120
P00427	25.0181	24.2339	24.0842	23.623	24.8733	24.3027	yeast	Cytochrome c oxidase subunit 6, mitochondrial	COX6	5	5	5	121
P00445	29.8534	29.7708	29.7183	29.4816	29.4971	29.4516	yeast	Superoxide dismutase [Cu-Zn]	SOD1	10	10	10	122
P00447	27.6162	27.5673	27.606	27.301	27.4679	27.4956	yeast	Superoxide dismutase [Mn], mitochondrial	SOD2	6	6	6	123
P00498	25.1673	25.0271	24.9042	24.88	24.8182	24.7775	yeast	ATP phosphoribosyltransferase	HIS1	5	5	5	124
P00549	32.9786	32.9491	32.9353	32.687	32.7555	32.734	yeast	Pyruvate kinase 1	CDC19	42	42	42	125
P00560	32.3991	32.3491	32.2517	32.0412	32.0608	32.0844	yeast	Phosphoglycerate kinase	PGK1	32	32	32	126
"P00724;P10594;P10596"	22.7968	22.4795	22.6235	NA	22.1257	22.2087	yeast	"Invertase 2;Invertase 1;Invertase 4"	"SUC2;SUC1;SUC4"	1	1	1	127
P00729	25.4748	25.3822	25.4342	24.03	25.1172	25.0688	yeast	Carboxypeptidase Y	PRC1	5	5	5	128
P00812	25.0759	25.6655	25.6567	25.0131	25.5121	25.2921	yeast	Arginase	CAR1	5	5	5	129
P00815	25.8513	25.8449	25.8412	25.1038	25.7923	26.0212	yeast	"Histidine biosynthesis trifunctional protein;Phosphoribosyl-AMP cyclohydrolase;Phosphoribosyl-ATP pyrophosphohydrolase;Histidinol dehydrogenase"	HIS4	7	7	7	130
P00817	28.9126	28.9758	28.8776	28.7209	28.7269	28.7608	yeast	Inorganic pyrophosphatase	IPP1	11	11	11	131
P00830	29.1201	28.9923	28.9562	28.8402	28.863	28.8222	yeast	ATP synthase subunit beta, mitochondrial	ATP2	20	20	20	132
P00890	29.357	29.1547	29.254	29.0377	29.2867	29.0904	yeast	Citrate synthase, mitochondrial	CIT1	18	18	18	133
P00899	25.4697	25.4182	25.3687	24.7109	25.0254	25.0994	yeast	Anthranilate synthase component 1	TRP2	8	8	8	134
P00924	29.7705	29.8289	29.7723	29.2235	29.278	29.3034	yeast	Enolase 1	ENO1	29	11	11	135
P00925	31.3838	31.2841	31.3204	30.8519	31.1311	31.0752	yeast	Enolase 2	ENO2	30	30	12	136
P00931	27.2861	27.5305	27.3357	27.2636	27.3428	27.3054	yeast	Tryptophan synthase	TRP5	11	11	11	138
P00942	31.2252	31.2118	31.2227	30.8379	31.0098	31.0026	yeast	Triosephosphate isomerase	TPI1	16	16	16	140
P00950	31.608	31.7513	31.7557	31.2383	31.6542	31.6635	yeast	Phosphoglycerate mutase 1	GPM1	15	15	15	141
P00958	24.8628	24.7865	25.0656	24.633	24.836	24.8009	yeast	Methionine--tRNA ligase, cytoplasmic	MES1	6	6	6	142
P01095	24.5446	24.8228	24.9024	24.347	24.4911	24.4845	yeast	Protease B inhibitors 2 and 1	PBI2	2	2	2	143
P01098	22.916	22.7786	22.8466	21.2223	21.6515	21.7027	yeast	ATPase-stabilizing factor 9 kDa, mitochondrial	STF1	2	2	2	144
P01123	22.4398	22.6406	23.3516	21.0675	22.8758	23.0236	yeast	GTP-binding protein YPT1	YPT1	4	3	3	145
"P02293;P02294"	26.5885	26.5359	26.4454	26.1655	26.3888	26.192	yeast	"Histone H2B.1;Histone H2B.2"	"HTB1;HTB2"	4	4	4	146
